transaction_id,product_id,quantity,amount_price,sales_date
31c0a878-8f36-43d9-b6fb-ba4ac4b51f0d,94,15,99.91,2024-07-24
c8d20ada-289a-4620-9d69-4904395a9896,83,5,83.3,2024-01-15
20282b91-f60b-44c4-8a32-d5957bfc307d,1,14,86.64,2024-02-07
132f5211-f32f-43bf-997e-df6ce5408e8f,76,17,5.18,2024-02-15
08406a47-ae89-4003-ae3a-3b987f91c48c,78,10,40.11,2024-07-05
fcf2f5ce-170d-465a-bdbb-2af56cf37595,30,12,75.99,2024-02-02
80d1a516-f03a-4930-8937-7b282a2f7b26,6,15,21.85,2024-04-20
bf9d6232-cb4c-40e3-bb9a-745f9d6503d5,7,4,82.3,2024-04-06
05c01d50-f74e-4647-8d67-ecc2c6abfaea,43,16,31.24,2024-06-21
7f49a4e6-5ad7-4795-9aa6-ed1cff9ad7b1,54,19,66.73,2024-06-17
d3dda523-a9c9-4995-8a7c-cefe7a16efd0,10,9,87.4,2024-05-04
0f0f294b-4e52-4088-8bdd-8be4bed16ad8,78,10,23.03,2024-03-08
f881be79-eda0-4c01-8224-87567d9c9f8f,40,7,69.11,2024-02-15
ad413ee1-473f-4a89-81b4-6057f5a2fd3f,89,13,19.29,2024-02-14
a4ddf654-926d-4e72-8c5b-1435b2ba1dc7,13,4,83.59,2024-01-13
a6e35ee5-4018-4655-bbfc-905ef5979b2e,1,3,28.25,2024-01-29
82635bd6-ee2f-41e9-9c4b-40a464e91285,58,18,69.02,2024-06-18
49770434-6a9d-4a36-9393-59ea39598ccf,51,9,39.62,2024-04-23
ba14c6d0-667b-4595-8bb8-d35875ca829b,15,3,5.47,2024-07-02
2469ffba-8c8f-4ffe-bf72-10d97a947be6,18,9,44.6,2024-01-23
09ee6322-df02-4d0e-99f5-cc251ad7a352,83,1,6.2,2024-03-07
08b3b9e3-6a1a-45e2-a073-4a7f175d3b6d,42,18,74.22,2024-01-30
fc7f12b1-76ff-4701-a43e-3ce723952f31,53,14,72.22,2024-01-29
672a5aa6-41d5-4a4f-a504-9df89e571df6,5,4,57.91,2024-01-27
40b405a9-6bd3-400c-a09b-d17883eb1da7,60,19,81.22,2024-05-22
fafa26a7-c1aa-4528-a791-8626ec3a5f46,58,2,21.09,2024-03-22
d1aaa7cb-a1c6-4bac-83a1-91c243ecda5c,15,13,12.39,2024-03-05
7daaecfe-2545-4c2b-bc71-7842dba88a23,63,4,39.54,2024-05-19
4f4c82e1-bfb7-42a1-8602-2c778710b0b5,5,13,42.82,2024-05-03
50312c36-4285-4b93-a4eb-ed8cb71ba14c,3,10,38.37,2024-04-14
859cc109-e01b-4964-88ed-b9499406d13a,2,17,37.65,2024-06-03
ca6cedfa-40c4-48b1-853e-47a399d9e8e6,81,16,97.7,2024-01-04
a45cc0c6-e3a7-48ad-807b-5534b86fb1e7,95,6,60.52,2024-03-03
b9d69b74-8c23-4fba-a840-1c2904b58a56,87,11,54.76,2024-02-12
86c8e249-5f25-4ab7-83f3-192b1affc52b,76,10,53.09,2024-07-16
5c2ae783-093d-4936-ad72-6a042dc710dd,83,9,62.32,2024-04-26
0c0b822c-b660-4044-b79e-da24962f3c9c,5,8,36.77,2024-02-26
90852f89-9a92-4e4e-a535-c5cc70f26b28,15,6,54.17,2024-07-23
4429c693-c7af-4a1f-9d26-5d9d0e41764d,85,19,96.68,2024-06-22
e10a10d4-dcb8-4004-b624-2d610bdd529a,84,6,75.2,2024-04-27
54503e95-effb-4b44-b20a-923505674c80,98,19,66.59,2024-03-05
1f9f1087-449d-4c9e-9375-1cecf251a304,79,16,34.88,2024-02-06
82e056e4-f876-4575-95a5-a6899f983894,31,10,38.12,2024-06-23
8a4c8c77-97b0-4a0b-bf9a-a3def19a808b,10,19,54.31,2024-04-18
82d49e73-8e71-4704-adb3-9e2b7f2b3825,65,12,79.16,2024-01-26
88757208-b850-4900-9331-179e32067d50,68,6,28.24,2024-01-14
72cb1a1a-87ae-4774-8b2f-3e831f62fa6b,91,5,76.29,2024-06-13
9c728875-3238-4edd-815f-86f0fb6c2c86,98,11,25.06,2024-06-18
f15460a4-d2d3-42e4-a07e-056b1f8a4b63,12,2,46.69,2024-05-22
bbb46dba-96b2-4c39-8913-24388ca349ba,75,7,72.16,2024-06-10
071e48af-9ece-4e2f-827a-c9ff9c734d65,10,19,26.27,2024-01-25
c5f5154e-207c-43c0-bf3a-69be79c0adcb,46,1,16.77,2024-02-22
5fa41081-24bb-47ee-b35c-a701f3eebabf,86,1,60.47,2024-02-02
37a13d43-78b3-4672-a9e9-9602cc7b2a8e,70,8,29.67,2024-05-21
c7c1aaa1-f62c-4311-81d5-c3952bd72523,62,6,12.66,2024-03-01
5e13cc0c-f2b4-4f9a-9674-4f5a92a8a583,61,5,59.18,2024-02-04
26881009-3db9-46c7-b7a3-194226af4bb6,85,12,24.01,2024-03-10
de66204e-1fd9-4722-9d5b-cdaca8421ffb,25,5,39.84,2024-03-05
3e7bbf8a-41b5-4c54-82c0-7581e8969412,81,4,55.35,2024-02-03
c4ed6603-b058-4baa-84e3-446a8a266140,100,14,60.06,2024-04-10
0a046a50-88a1-4f70-9db6-7d926cdb649d,38,15,17.07,2024-02-29
43699391-d693-44cc-b34a-ffa10d2f482d,8,19,56.08,2024-03-04
9f7c0243-a30a-4da9-8539-50483f0beadc,74,14,69.95,2024-02-09
e514d45a-b007-4ce3-99e6-dc9f9e195048,99,16,26.71,2024-05-26
f455e0fa-2338-48bf-8841-d70b09a52750,94,14,13.78,2024-04-20
13f4633c-f0dd-488f-aacb-cadceb524503,1,18,20.78,2024-01-25
d18637d8-1506-4b9c-8259-f7616d158cec,84,11,28.65,2024-07-26
e7937c02-efa0-466a-b784-72b41b78e50d,63,17,78.01,2024-04-16
1a0ff251-a19a-4e0e-89c4-5bd91b16bfae,96,10,46.19,2024-02-14
f3e51c3c-4790-4e65-9a11-23fa987a1976,44,3,55.16,2024-05-15
173de9a1-7103-4f09-9219-40896a33811c,57,8,64.99,2024-03-17
6ec0025b-7045-4ccb-9fad-2d2bf8da1dc9,82,2,64.1,2024-02-03
329140ba-d036-491e-a0eb-01689a15bfdb,56,13,10.01,2024-01-03
362ebed1-220c-4f0c-b8fb-b4bb1b2639a3,30,8,17.57,2024-06-21
3bcc9707-5603-41fa-8baa-73ba1026cb99,57,17,44.39,2024-07-24
bc213d9a-06dc-4898-882b-2b7b52f713e1,13,1,6.53,2024-04-07
d5efae66-eb43-4467-b09e-4cccf48a2c8c,100,10,94.34,2024-04-01
9bc88235-4ba5-4bab-9ed5-cef3b825da9a,17,17,65.54,2024-06-17
